観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの4月の1位の値(mm),昨日までの4月の1位の値の品質情報,昨日までの4月の1位の値の年,昨日までの4月の1位の値の月,昨日までの4月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,146.0,8,2016,09,06,40,8,1990,04,24,1978
11016,北海道 宗谷地方,稚内,47401,2017,04,11,15,00,0.0,8,0.0,4,,,,,,195.5,8,2016,09,06,44.0,8,2011,04,17,1976
11046,北海道 宗谷地方,礼文,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,183.0,8,2014,08,24,51.5,8,2011,04,17,2003
11061,北海道 宗谷地方,声問,,2017,04,11,15,00,,1,,1,,,,,,157.0,8,2016,09,06,28,4,2003,04,30,2003
11076,北海道 宗谷地方,浜鬼志別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,141.0,8,2015,07,14,42,8,2003,04,30,1978
11091,北海道 宗谷地方,本泊,,2017,04,11,15,00,,1,,1,,,,,,176.5,8,2016,09,06,,,,,,2003
11121,北海道 宗谷地方,沼川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,111.0,8,2014,08,24,59,8,1989,04,17,1977
11151,北海道 宗谷地方,沓形,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,168.0,8,2016,09,06,90,8,1989,04,17,1976
11176,北海道 宗谷地方,豊富,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,129.5,8,2014,08,24,49,8,2002,04,25,1976
11206,北海道 宗谷地方,浜頓別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,118,8,1981,08,06,65,8,1989,04,17,1976
11276,北海道 宗谷地方,中頓別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,139.0,8,2015,10,09,63,8,1982,04,11,1976
11291,北海道 宗谷地方,北見枝幸,47402,2017,04,11,15,00,0.0,8,0.0,4,,,,,,154.0,8,2015,10,09,77,8,1989,04,17,1976
11316,北海道 宗谷地方,歌登,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,170,8,1979,10,20,65,8,1982,04,11,1976
13011,北海道 宗谷地方,幌延,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,129.0,8,2014,08,24,31.0,8,2011,04,17,2006
12011,北海道 上川地方,中川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,131.0,8,2014,08,24,40,8,2003,04,30,1977
12041,北海道 上川地方,音威子府,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,147,8,2001,09,10,40,8,1990,04,24,1978
12066,北海道 上川地方,小車,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,159,8,2006,10,08,37.0,8,2011,04,17,2006
12141,北海道 上川地方,美深,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,151.5,8,2014,08,05,35,8,1990,04,24,1976
12181,北海道 上川地方,名寄,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,153.5,8,2014,08,05,37,8,1991,04,30,1976
12217,北海道 上川地方,西風連,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,160.0,8,2014,08,05,28.0,8,2011,04,17,2006
12231,北海道 上川地方,下川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,192,8,1981,08,04,31,8,1991,04,30,1976
12256,北海道 上川地方,剣淵,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,147.0,8,2011,09,03,27.5,8,2011,04,17,2006
12261,北海道 上川地方,士別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,167,8,1981,08,04,38,8,1991,04,30,1976
12266,北海道 上川地方,朝日,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,179,8,1981,08,04,33,8,1991,04,30,1976
12301,北海道 上川地方,和寒,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,163,8,1981,08,05,46,8,1991,04,30,1977
12386,北海道 上川地方,江丹別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,167,8,2000,09,02,40.5,8,2014,04,10,1977
12396,北海道 上川地方,比布,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,154,4,1981,08,05,35.0,8,2011,04,17,1976
12411,北海道 上川地方,上川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,146.5,8,2016,08,21,37,8,2000,04,12,1976
12442,北海道 上川地方,旭川,47407,2017,04,11,15,00,0.0,8,0.5,4,02,00,8,,,168,8,1981,08,04,36,8,2000,04,12,1976
12451,北海道 上川地方,東川,,2017,04,11,15,00,0.0,8,0.5,4,01,40,8,,,144.5,8,2016,08,21,43,8,2000,04,12,1977
12457,北海道 上川地方,瑞穂,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,151.0,8,2011,09,03,47,8,2000,04,12,1984
12471,北海道 上川地方,層雲峡,,2017,04,11,15,00,0.0,8,2.5,4,01,00,8,,,198,4,1981,08,06,78,8,2000,04,11,1976
12501,北海道 上川地方,東神楽,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,126.5,8,2016,08,21,22,4,2003,04,30,2003
12512,北海道 上川地方,志比内,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,151.0,8,2011,09,03,52,8,2000,04,12,1993
12551,北海道 上川地方,美瑛,,2017,04,11,15,00,0.0,8,0.5,4,02,20,8,,,149,4,1981,08,05,42,8,2000,04,12,1976
12596,北海道 上川地方,上富良野,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,212,4,1981,08,05,51,8,2000,04,11,1977
12607,北海道 上川地方,白金,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,191.0,8,2016,08,23,87,8,2000,04,11,1984
12626,北海道 上川地方,富良野,,2017,04,11,15,00,0.0,8,0.5,4,04,10,8,,,196,4,1981,08,06,66,8,2000,04,11,1976
12632,北海道 上川地方,麓郷,,2017,04,11,15,00,0.0,8,1.0,4,03,10,8,,,175,8,1981,08,06,56,8,2000,04,11,1978
12686,北海道 上川地方,金山,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,158,8,2006,08,19,61.0,8,2011,04,24,2006
12691,北海道 上川地方,幾寅,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,210,8,2001,09,11,53.0,8,2013,04,08,1977
12746,北海道 上川地方,占冠,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,243,8,2003,08,10,75.0,8,2011,04,24,1977
15041,北海道 上川地方,朱鞠内,,2017,04,11,15,00,0.0,8,0.5,4,02,20,8,,,197.5,8,2014,08,05,39,8,1990,04,24,1978
15076,北海道 上川地方,幌加内,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,228,8,1988,08,26,48,8,1990,04,24,1976
13061,北海道 留萌地方,天塩,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,146.5,8,2014,08,24,49,8,2002,04,25,1976
13086,北海道 留萌地方,遠別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,165.0,8,2010,08,14,53,8,2002,04,25,1976
13121,北海道 留萌地方,初山別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,155,8,2001,09,10,51,8,2002,04,25,1977
13146,北海道 留萌地方,焼尻,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,179,8,1982,08,22,46,8,2002,04,25,1977
13181,北海道 留萌地方,羽幌,47404,2017,04,11,15,00,0.0,8,0.0,4,,,,,,159.5,8,2014,08,05,47.0,8,2011,04,17,1976
13206,北海道 留萌地方,古丹別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,148,8,2000,09,02,49,8,2002,04,25,1976
13261,北海道 留萌地方,達布,,2017,04,11,15,00,0.0,8,0.5,4,01,20,8,,,182,8,1988,08,26,59.0,8,2011,04,17,1977
13277,北海道 留萌地方,留萌,47406,2017,04,11,15,00,0.0,8,0.0,4,,,,,,146.0,8,2011,09,03,46,8,1990,04,24,1976
13311,北海道 留萌地方,増毛,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,140.0,8,2011,09,03,48,8,1990,04,24,1976
13321,北海道 留萌地方,幌糠,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,250,4,1988,08,26,62,8,1990,04,24,1977
14026,北海道 石狩地方,浜益,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,182.5,8,2011,09,03,56,8,1990,04,24,1977
14071,北海道 石狩地方,厚田,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,194,8,1981,08,05,55,8,1990,04,24,1977
14101,北海道 石狩地方,新篠津,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,180,8,1981,08,05,86,8,1990,04,23,1976
14116,北海道 石狩地方,山口,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,193,8,1981,08,05,69,8,2006,04,21,1976
14121,北海道 石狩地方,石狩,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,122,8,2001,09,11,59,8,1990,04,24,1990
14136,北海道 石狩地方,江別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,127.0,8,2016,08,17,36.5,8,2015,04,16,2000
14157,北海道 石狩地方,手稲山,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,153.5,8,2011,09,06,64.0,8,2013,04,07,2010
14163,北海道 石狩地方,札幌,47412,2017,04,11,15,00,0.0,8,0.0,4,,,,,,220,8,1981,08,23,60.5,8,2013,04,07,1976
14191,北海道 石狩地方,小金湯,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,277,8,1981,08,23,83.0,8,2013,04,07,1976
14206,北海道 石狩地方,恵庭島松,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,264,8,1981,08,05,176,8,1990,04,23,1976
14286,北海道 石狩地方,支笏湖畔,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,280.0,8,2014,09,11,171,8,1982,04,16,1976
14296,北海道 石狩地方,千歳,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,213.5,8,2014,09,12,47.5,8,2011,04,24,2003
15116,北海道 空知地方,石狩沼田,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,422,8,1988,08,26,52,8,1990,04,24,1976
15161,北海道 空知地方,深川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,201,8,1981,08,05,41,8,1990,04,24,1976
15197,北海道 空知地方,雨竜,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,150.5,8,2011,09,03,42.0,8,2011,04,24,2006
15216,北海道 空知地方,新城,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,184,8,1988,08,26,44,8,1985,04,25,1984
15231,北海道 空知地方,空知吉野,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,221,8,1988,08,26,65,8,1990,04,24,1978
15241,北海道 空知地方,滝川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,198,8,1981,08,05,47.0,8,2011,04,24,1976
15247,北海道 空知地方,赤平,,2017,04,11,15,00,0.0,8,0.5,4,03,00,8,,,175.0,8,2016,08,21,45.0,8,2011,04,24,2006
15251,北海道 空知地方,芦別,,2017,04,11,15,00,0.0,8,0.5,4,03,30,8,,,195,8,1981,08,05,50,8,1985,04,24,1976
15276,北海道 空知地方,浦臼,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,159,8,1988,08,26,77,8,1990,04,24,1983
15311,北海道 空知地方,月形,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,166,8,1981,08,05,82,8,1990,04,24,1976
15321,北海道 空知地方,美唄,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,254,8,1981,08,04,82,8,1990,04,24,1976
15356,北海道 空知地方,岩見沢,47413,2017,04,11,15,00,0.0,8,0.0,4,,,,,,264,8,1981,08,04,106,8,1990,04,23,1976
15391,北海道 空知地方,栗沢,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,258,8,1981,08,04,116,8,1990,04,23,1976
15431,北海道 空知地方,長沼,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,273,4,1981,08,05,154,8,1990,04,23,1976
15442,北海道 空知地方,夕張,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,172,8,1981,08,05,97.0,8,2011,04,24,1976
15451,北海道 空知地方,鹿島,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,167,8,2001,09,11,83.0,8,2011,04,24,1983
15491,北海道 空知地方,沼の沢,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,176,8,2001,09,11,111,8,1990,04,23,1983
16026,北海道 後志地方,美国,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,189.0,8,2011,09,02,76,8,1998,04,13,1976
16061,北海道 後志地方,神恵内,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,171.5,8,2010,07,30,87,8,1998,04,13,1977
16076,北海道 後志地方,余市,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,149.0,8,2011,09,03,54,8,1998,04,13,1976
16091,北海道 後志地方,小樽,47411,2017,04,11,15,00,0.0,8,0.0,4,,,,,,126,8,1988,08,26,51,8,1991,04,30,1976
16126,北海道 後志地方,赤井川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,142,8,2006,10,08,66,8,1982,04,11,1976
16156,北海道 後志地方,共和,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,122,8,1981,08,23,46.0,8,2013,04,07,1976
16206,北海道 後志地方,蘭越,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,148,8,1981,08,23,72.0,8,2013,04,07,1976
16217,北海道 後志地方,倶知安,47433,2017,04,11,15,00,0.0,8,0.0,4,,,,,,157,8,1981,08,23,47.0,8,2013,04,07,1976
16252,北海道 後志地方,寿都,47421,2017,04,11,15,00,0.0,8,0.0,4,,,,,,156.5,4,2011,09,02,53.5,8,2013,04,08,1976
16272,北海道 後志地方,ニセコ,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,118.5,8,2011,09,06,38.0,8,2013,04,07,2010
16281,北海道 後志地方,真狩,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,154,8,1981,08,23,45,8,1998,04,14,1976
16286,北海道 後志地方,喜茂別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,172,8,1981,08,23,44,8,1998,04,14,1976
16321,北海道 後志地方,黒松内,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,158,8,1981,08,23,86,8,1982,04,16,1976
17036,北海道 網走・北見・紋別地方,雄武,47405,2017,04,11,15,00,0.0,8,0.0,4,,,,,,164.5,8,2015,10,09,61.0,8,2014,04,05,1976
17076,北海道 網走・北見・紋別地方,興部,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,163,8,1998,09,17,64,8,1982,04,11,1976
17091,北海道 網走・北見・紋別地方,西興部,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,183,8,2006,10,08,51,8,1982,04,10,1976
17112,北海道 網走・北見・紋別地方,紋別,47435,2017,04,11,15,00,0.0,8,0.0,4,,,,,,207.0,8,2015,10,09,59,8,1982,04,11,1976
17116,北海道 網走・北見・紋別地方,紋別小向,,2017,04,11,15,00,,1,,1,,,,,,181.5,4,2015,10,09,1,4,2005,04,30,2003
17166,北海道 網走・北見・紋別地方,湧別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,193.5,8,2015,10,09,55,8,1982,04,11,1976
17196,北海道 網走・北見・紋別地方,滝上,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,161,8,2006,10,08,38,8,1982,04,11,1976
17211,北海道 網走・北見・紋別地方,上藻別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,218,8,1998,09,17,52,8,1982,04,11,1976
17246,北海道 網走・北見・紋別地方,常呂,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,162,8,1992,09,12,51,8,2000,04,28,1976
17306,北海道 網走・北見・紋別地方,遠軽,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,220,8,2006,10,08,44,8,2000,04,29,1976
17316,北海道 網走・北見・紋別地方,佐呂間,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,185.0,8,2015,10,09,46,8,2000,04,12,1976
17341,北海道 網走・北見・紋別地方,網走,47409,2017,04,11,15,00,0.0,8,0.0,4,,,,,,182,8,1992,09,12,56,8,2000,04,29,1976
17351,北海道 網走・北見・紋別地方,宇登呂,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,417,8,1981,08,06,146.0,8,2013,04,08,1976
17386,北海道 網走・北見・紋別地方,丸瀬布,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,148,8,2006,10,08,64,8,2006,04,21,1984
17482,北海道 網走・北見・紋別地方,白滝,,2017,04,11,15,00,0.0,8,0.5,4,00,50,8,,,176.0,8,2011,09,03,69,8,2006,04,21,1993
17501,北海道 網走・北見・紋別地方,生田原,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,145,8,2006,10,08,50,8,2000,04,12,1976
17512,北海道 網走・北見・紋別地方,仁頃山,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,163,8,2006,10,09,33.5,8,2013,04,28,2006
17521,北海道 網走・北見・紋別地方,北見,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,146,8,2006,08,19,47,8,2000,04,28,1976
17531,北海道 網走・北見・紋別地方,女満別,,2017,04,11,15,00,,1,,1,,,,,,183.5,4,2015,10,09,16.0,4,2011,04,29,2003
17541,北海道 網走・北見・紋別地方,東藻琴,,2017,04,11,15,00,0.0,8,2.5,4,05,40,8,,,171.5,8,2015,10,09,52,8,2000,04,29,1978
17546,北海道 網走・北見・紋別地方,小清水,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,218,8,1992,09,12,55,8,2000,04,29,1976
17561,北海道 網走・北見・紋別地方,斜里,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,205,8,1992,09,12,69.0,8,2013,04,08,1976
17596,北海道 網走・北見・紋別地方,留辺蘂,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,150,8,2006,08,19,75,8,2000,04,11,1976
17607,北海道 網走・北見・紋別地方,境野,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,179,8,2006,08,19,48,8,2006,04,21,1977
17631,北海道 網走・北見・紋別地方,美幌,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,144.0,8,2015,10,09,66,8,2000,04,12,1976
17642,北海道 網走・北見・紋別地方,山園,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,192.5,8,2015,10,09,41.5,8,2011,04,24,2010
17686,北海道 網走・北見・紋別地方,置戸常元,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,181,8,2006,08,19,47.0,8,2014,04,04,2006
17717,北海道 網走・北見・紋別地方,津別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,152,8,2001,09,12,51,8,2000,04,28,1988
17776,北海道 網走・北見・紋別地方,津別二又,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,159,8,2006,08,19,47.0,8,2014,04,05,2006
18038,北海道 根室地方,羅臼,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,184.0,8,2016,09,09,101.5,8,2013,04,08,2005
18091,北海道 根室地方,糸櫛別,,2017,04,11,15,00,0.0,8,1.5,4,03,10,8,,,202,8,1987,10,18,114.5,8,2013,04,08,1978
18136,北海道 根室地方,標津,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,189,8,2006,10,08,134.5,8,2013,04,08,1976
18161,北海道 根室地方,上標津,,2017,04,11,15,00,0.0,8,0.5,4,04,30,8,,,129.0,8,2014,08,11,86.0,8,2013,04,07,2003
18171,北海道 根室地方,中標津,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,205,8,2006,10,08,117.5,8,2013,04,07,1976
18174,北海道 根室地方,根室中標津,,2017,04,11,15,00,,1,,1,,,,,,157,8,2006,10,08,38.0,4,2011,04,29,2003
18256,北海道 根室地方,別海,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,212,8,2006,10,08,118.5,8,2013,04,07,1976
18273,北海道 根室地方,根室,47420,2017,04,11,15,00,0.0,8,1.0,4,04,30,8,,,213,8,1992,09,11,125,8,1990,04,30,1976
18281,北海道 根室地方,納沙布,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,157,8,1998,08,30,102,8,1990,04,30,1976
18311,北海道 根室地方,厚床,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,196,8,1986,09,04,113,8,1990,04,30,1977
19021,北海道 釧路地方,川湯,,2017,04,11,15,00,0.0,8,1.5,4,07,20,8,,,181,8,1988,11,25,85,8,2000,04,12,1976
