観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの4月の1位の値(mm),昨日までの4月の1位の値の品質情報,昨日までの4月の1位の値の年,昨日までの4月の1位の値の月,昨日までの4月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,160.5,8,2016,09,07,40,8,1990,04,25,1978
11016,北海道 宗谷地方,稚内,47401,2017,04,11,15,00,0.0,8,0.0,4,,,,,,223.5,8,2016,09,07,51,8,2000,04,13,1976
11046,北海道 宗谷地方,礼文,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,207.5,8,2014,08,24,56.5,8,2011,04,18,2003
11061,北海道 宗谷地方,声問,,2017,04,11,15,00,,1,,1,,,,,,193.0,8,2016,09,07,28,4,2003,04,30,2003
11076,北海道 宗谷地方,浜鬼志別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,163,8,1990,08,24,43,8,2003,04,30,1978
11091,北海道 宗谷地方,本泊,,2017,04,11,15,00,,1,,1,,,,,,228.0,8,2016,09,07,,,,,,2003
11121,北海道 宗谷地方,沼川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,142.5,8,2014,08,24,66,8,1989,04,18,1977
11151,北海道 宗谷地方,沓形,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,224.0,8,2016,09,07,94,8,1989,04,18,1976
11176,北海道 宗谷地方,豊富,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,156.0,8,2014,08,25,61,8,2000,04,13,1976
11206,北海道 宗谷地方,浜頓別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,150,8,1997,08,05,68,8,1989,04,18,1976
11276,北海道 宗谷地方,中頓別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,161,8,1997,08,05,64,8,1982,04,12,1976
11291,北海道 宗谷地方,北見枝幸,47402,2017,04,11,15,00,0.0,8,0.0,4,,,,,,176,8,2001,09,11,81,8,1989,04,18,1976
11316,北海道 宗谷地方,歌登,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,205,8,1988,10,30,70,8,1982,04,11,1976
13011,北海道 宗谷地方,幌延,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,143.0,8,2014,08,25,35.0,8,2011,04,18,2006
12011,北海道 上川地方,中川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,167,8,1997,08,05,41,8,2003,04,30,1977
12041,北海道 上川地方,音威子府,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,199,8,1981,08,05,42.0,8,2011,04,18,1978
12066,北海道 上川地方,小車,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,182,8,2006,10,09,39.5,8,2011,04,18,2006
12141,北海道 上川地方,美深,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,212,4,1981,08,05,36,8,1990,04,25,1976
12181,北海道 上川地方,名寄,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,184,4,1981,08,05,38,8,1991,04,30,1976
12217,北海道 上川地方,西風連,,2017,04,11,15,00,0.0,8,0.5,4,02,10,8,,,160.0,8,2014,08,06,34.0,8,2010,04,30,2006
12231,北海道 上川地方,下川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,247,8,1981,08,05,34.0,8,2014,04,05,1976
12256,北海道 上川地方,剣淵,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,171.5,8,2011,09,04,28.0,8,2011,04,18,2006
12261,北海道 上川地方,士別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,272,8,1981,08,05,38,8,1991,04,30,1976
12266,北海道 上川地方,朝日,,2017,04,11,15,00,0.0,8,0.5,4,04,10,8,,,269,8,1981,08,05,33.0,8,2010,04,15,1976
12301,北海道 上川地方,和寒,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,289,8,1981,08,05,47,8,1991,04,30,1977
12386,北海道 上川地方,江丹別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,267,8,1981,08,05,46.0,8,2014,04,11,1977
12396,北海道 上川地方,比布,,2017,04,11,15,00,0.0,8,0.5,4,01,50,8,,,259,4,1981,08,05,40.0,8,2011,04,18,1976
12411,北海道 上川地方,上川,,2017,04,11,15,00,0.0,8,0.5,4,02,40,8,,,168,8,1981,08,06,39,8,2000,04,13,1976
12442,北海道 上川地方,旭川,47407,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,294,8,1981,08,05,36.0,8,2014,04,11,1976
12451,北海道 上川地方,東川,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,222,8,1981,08,05,43,8,2000,04,13,1977
12457,北海道 上川地方,瑞穂,,2017,04,11,15,00,0.5,8,1.0,4,02,40,8,,,196.5,8,2011,09,04,50.0,8,2011,04,18,1984
12471,北海道 上川地方,層雲峡,,2017,04,11,15,00,3.5,8,3.5,4,15,00,8,,,235,4,1981,08,05,81,8,2000,04,12,1976
12501,北海道 上川地方,東神楽,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,153.0,8,2011,09,04,22,4,2003,04,30,2003
12512,北海道 上川地方,志比内,,2017,04,11,15,00,0.0,8,0.5,4,05,00,8,,,200.0,8,2011,09,04,53,8,2000,04,13,1993
12551,北海道 上川地方,美瑛,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,218,4,1981,08,06,43,8,2000,04,13,1976
12596,北海道 上川地方,上富良野,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,267,4,1981,08,06,52,8,2000,04,12,1977
12607,北海道 上川地方,白金,,2017,04,11,15,00,0.0,8,1.0,4,04,10,8,,,209.5,8,2011,09,04,100.5,8,2013,04,09,1984
12626,北海道 上川地方,富良野,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,217,4,1981,08,06,68,8,2000,04,12,1976
12632,北海道 上川地方,麓郷,,2017,04,11,15,00,1.0,8,1.0,4,15,00,8,,,192,8,1981,08,06,58,8,2000,04,12,1978
12686,北海道 上川地方,金山,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,187.0,8,2012,09,11,76.0,8,2011,04,25,2006
12691,北海道 上川地方,幾寅,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,244,8,2001,09,12,56.5,8,2013,04,09,1977
12746,北海道 上川地方,占冠,,2017,04,11,15,00,0.0,8,0.5,4,01,20,8,,,268,8,2003,08,10,86.5,8,2011,04,25,1977
15041,北海道 上川地方,朱鞠内,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,238,8,1981,08,05,45,8,1980,04,07,1978
15076,北海道 上川地方,幌加内,,2017,04,11,15,00,0.0,8,0.5,4,02,30,8,,,267,8,1981,08,05,48,8,1990,04,25,1976
13061,北海道 留萌地方,天塩,,2017,04,11,15,00,0.0,8,0.5,4,09,50,8,,,161.5,8,2014,08,24,49,8,2002,04,26,1976
13086,北海道 留萌地方,遠別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,171.0,8,2010,08,14,53,8,2002,04,26,1976
13121,北海道 留萌地方,初山別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,177,8,2001,09,11,51,8,2002,04,26,1977
13146,北海道 留萌地方,焼尻,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,180,8,1982,08,23,48.0,8,2011,04,18,1977
