観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの4月の1位の値(mm),昨日までの4月の1位の値の品質情報,昨日までの4月の1位の値の年,昨日までの4月の1位の値の月,昨日までの4月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬,,2017,04,11,15,00,1.0,8,5.0,4,12,50,8,,,162.0,8,2016,09,08,40,8,1990,04,26,1978
11016,北海道 宗谷地方,稚内,47401,2017,04,11,15,00,1.5,8,4.5,4,11,50,8,,,224.0,8,2016,09,08,53,8,2000,04,14,1976
11046,北海道 宗谷地方,礼文,,2017,04,11,15,00,1.5,8,6.0,4,11,30,8,,,208.0,8,2014,08,25,56.5,8,2011,04,19,2003
11061,北海道 宗谷地方,声問,,2017,04,11,15,00,,1,,1,,,,,,194.5,8,2016,09,08,28,4,2003,04,30,2003
11076,北海道 宗谷地方,浜鬼志別,,2017,04,11,15,00,0.5,8,3.0,4,13,20,8,,,171,8,1981,08,06,43,8,2003,04,30,1978
11091,北海道 宗谷地方,本泊,,2017,04,11,15,00,,1,,1,,,,,,229.0,8,2016,09,08,,,,,,2003
11121,北海道 宗谷地方,沼川,,2017,04,11,15,00,0.0,8,4.5,4,12,30,8,,,149,8,1997,08,05,67,8,1989,04,19,1977
11151,北海道 宗谷地方,沓形,,2017,04,11,15,00,3.0,8,9.5,4,11,20,8,,,224.0,8,2016,09,08,94,8,1989,04,19,1976
11176,北海道 宗谷地方,豊富,,2017,04,11,15,00,1.5,8,7.0,4,12,20,8,,,186,8,1999,08,01,65,8,2000,04,14,1976
11206,北海道 宗谷地方,浜頓別,,2017,04,11,15,00,0.0,8,1.0,4,13,10,8,,,177,8,1997,08,05,70,8,1989,04,19,1976
11276,北海道 宗谷地方,中頓別,,2017,04,11,15,00,1.0,8,4.5,4,13,10,8,,,176,8,1981,08,06,66,8,1982,04,13,1976
11291,北海道 宗谷地方,北見枝幸,47402,2017,04,11,15,00,1.5,8,3.5,4,12,40,8,,,182,8,1981,08,06,83,8,1989,04,19,1976
11316,北海道 宗谷地方,歌登,,2017,04,11,15,00,0.0,8,2.0,4,13,20,8,,,220,8,1988,10,31,70,8,1989,04,19,1976
13011,北海道 宗谷地方,幌延,,2017,04,11,15,00,2.0,8,7.5,4,12,20,8,,,158.5,8,2010,07,30,40.5,8,2010,04,13,2006
12011,北海道 上川地方,中川,,2017,04,11,15,00,2.0,8,6.5,4,12,40,8,,,236.0,8,2010,08,14,42,8,2003,04,30,1977
12041,北海道 上川地方,音威子府,,2017,04,11,15,00,1.5,8,3.5,4,13,20,8,,,224,8,1981,08,06,43.0,8,2011,04,19,1978
12066,北海道 上川地方,小車,,2017,04,11,15,00,0.0,8,1.0,4,13,40,8,,,190,8,2006,10,10,39.5,8,2011,04,19,2006
12141,北海道 上川地方,美深,,2017,04,11,15,00,2.0,8,4.0,4,13,20,8,,,230,4,1981,08,06,36,8,1990,04,26,1976
12181,北海道 上川地方,名寄,,2017,04,11,15,00,2.5,8,3.0,4,14,40,8,,,196,4,1981,08,06,38,8,1991,04,30,1976
12217,北海道 上川地方,西風連,,2017,04,11,15,00,6.0,8,6.0,4,15,00,8,,,181.5,8,2011,09,04,34.0,8,2010,04,30,2006
12231,北海道 上川地方,下川,,2017,04,11,15,00,3.0,8,3.0,4,15,00,8,,,267,8,1981,08,06,34.0,8,2014,04,06,1976
12256,北海道 上川地方,剣淵,,2017,04,11,15,00,2.5,8,3.0,4,13,20,8,,,205.0,8,2011,09,05,29.5,8,2015,04,03,2006
12261,北海道 上川地方,士別,,2017,04,11,15,00,3.5,8,4.5,4,13,40,8,,,283,8,1981,08,06,38,8,1991,04,30,1976
12266,北海道 上川地方,朝日,,2017,04,11,15,00,2.0,8,2.0,4,15,00,8,,,280,8,1981,08,06,33.0,8,2010,04,16,1976
12301,北海道 上川地方,和寒,,2017,04,11,15,00,2.5,8,5.0,4,13,00,8,,,297,8,1981,08,06,47,8,1991,04,30,1977
12386,北海道 上川地方,江丹別,,2017,04,11,15,00,1.5,8,1.5,4,15,00,8,,,278,8,1981,08,06,46.0,8,2014,04,12,1977
12396,北海道 上川地方,比布,,2017,04,11,15,00,1.0,8,1.0,4,15,00,8,,,264,4,1981,08,06,40.0,8,2011,04,19,1976
12411,北海道 上川地方,上川,,2017,04,11,15,00,2.0,8,2.0,4,15,00,8,,,194.0,8,2016,08,23,40,8,2000,04,14,1976
12442,北海道 上川地方,旭川,47407,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,297,8,1981,08,06,37,8,2000,04,14,1976
12451,北海道 上川地方,東川,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,224,8,1981,08,06,43,8,2000,04,14,1977
12457,北海道 上川地方,瑞穂,,2017,04,11,15,00,1.5,8,1.5,4,15,00,8,,,204.5,8,2011,09,05,50.5,8,2011,04,19,1984
12471,北海道 上川地方,層雲峡,,2017,04,11,15,00,9.5,8,10.0,4,14,30,8,,,263,4,1981,08,06,83,8,2000,04,13,1976
12501,北海道 上川地方,東神楽,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,160.5,8,2011,09,05,22,4,2003,04,30,2003
12512,北海道 上川地方,志比内,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,220,8,1994,08,15,53,8,2000,04,14,1993
12551,北海道 上川地方,美瑛,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,220,4,1981,08,06,43,8,2000,04,14,1976
12596,北海道 上川地方,上富良野,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,269,4,1981,08,07,52,8,2000,04,13,1977
12607,北海道 上川地方,白金,,2017,04,11,15,00,1.0,8,1.0,4,15,00,8,,,273.0,8,2016,08,23,103.5,8,2013,04,10,1984
12626,北海道 上川地方,富良野,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,232.0,8,2011,09,05,69,8,2000,04,13,1976
12632,北海道 上川地方,麓郷,,2017,04,11,15,00,1.0,8,1.0,4,15,00,8,,,216.5,8,2016,08,23,59,8,2000,04,13,1978
12686,北海道 上川地方,金山,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,219.0,8,2012,09,12,79.5,8,2011,04,26,2006
12691,北海道 上川地方,幾寅,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,266,8,2001,09,12,62.0,8,2013,04,10,1977
12746,北海道 上川地方,占冠,,2017,04,11,15,00,1.0,8,1.0,4,15,00,8,,,277,8,2001,09,12,89.5,8,2011,04,26,1977
15041,北海道 上川地方,朱鞠内,,2017,04,11,15,00,4.5,8,6.5,4,12,30,8,,,262,8,1981,08,06,46,8,1980,04,08,1978
15076,北海道 上川地方,幌加内,,2017,04,11,15,00,4.0,8,6.5,4,12,10,8,,,276,8,1981,08,06,51.5,8,2011,04,26,1976
13061,北海道 留萌地方,天塩,,2017,04,11,15,00,1.5,8,5.5,4,12,30,8,,,184.5,8,2010,07,30,49,8,2002,04,27,1976
13086,北海道 留萌地方,遠別,,2017,04,11,15,00,1.0,8,4.0,4,12,30,8,,,235.0,8,2010,08,14,53,8,2002,04,27,1976
13121,北海道 留萌地方,初山別,,2017,04,11,15,00,0.5,8,3.5,4,12,30,8,,,187,8,1981,08,06,51,8,2002,04,27,1977
13146,北海道 留萌地方,焼尻,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,191,4,1981,08,06,48.0,8,2011,04,19,1977
13181,北海道 留萌地方,羽幌,47404,2017,04,11,15,00,2.0,8,4.0,4,11,10,8,,,253,8,1981,08,06,57,8,2000,04,13,1976
13206,北海道 留萌地方,古丹別,,2017,04,11,15,00,0.5,8,1.5,4,12,20,8,,,258,8,1981,08,06,54,8,2000,04,14,1976
13261,北海道 留萌地方,達布,,2017,04,11,15,00,2.5,8,4.0,4,12,20,8,,,280,8,1981,08,06,67.5,8,2011,04,19,1977
13277,北海道 留萌地方,留萌,47406,2017,04,11,15,00,0.0,8,1.0,4,11,20,8,,,249,8,1981,08,06,46,8,1990,04,26,1976
13311,北海道 留萌地方,増毛,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,236,8,1981,08,06,50,8,1990,04,26,1976
13321,北海道 留萌地方,幌糠,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,280,8,1981,08,06,62,8,1990,04,26,1977
14026,北海道 石狩地方,浜益,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,265.0,8,2011,09,05,57.0,8,2011,04,26,1977
14071,北海道 石狩地方,厚田,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,290,8,1981,08,06,55,8,1990,04,26,1977
14101,北海道 石狩地方,新篠津,,2017,04,11,15,00,0.5,8,0.5,4,15,00,8,,,327,8,1981,08,06,88,8,1990,04,25,1976
